GEOID10,POP100_RE,HU100_RE,TAZ
250250701016000,15,11,75
250250702003001,40,28,75
250250701016001,70,47,75
250250701016002,281,267,75
250250702001003,42,17,76
250250702001004,0,0,76
250250701017006,0,0,77
250250702001002,153,74,76
250250701017007,606,467,76
250250701017003,0,0,77
250250701017000,0,0,17
250250701011041,0,0,18
250250701011022,0,0,17
250250702001001,145,53,77
250250701011042,0,0,17
250250701011045,54,32,18
250250701017008,0,0,77
250250702001000,168,59,77
250250701011033,0,0,77
250250701017002,0,0,77
250250701017005,260,128,77
250250701011043,0,0,17
250250701011023,0,0,17
250250701011040,0,0,18
250250701011034,0,0,77
250250701011024,0,0,17
250250701017004,236,106,77
250250701011046,71,40,17
250250701017001,0,0,77
250250701011035,10,8,77
250250703002009,0,0,78
250250703002010,56,34,78
250250703002014,1,1,78
250250703002000,0,0,78
250250703002005,103,70,78
250250703002011,34,18,78
250250702003009,0,0,83
250250703001011,201,143,78
250250703002004,45,25,78
250250703002013,21,13,78
250250703002012,130,65,78
250250703002001,0,0,78
250250703002006,91,60,78
250250703002008,173,111,78
250250703002003,38,26,78
250250703002002,6,3,78
250250703001006,0,0,73
250250703002007,35,23,78
250250702003003,148,216,79
250250702003004,48,28,79
250250702001005,2,0,81
250250702003005,6,0,80
250250702001014,0,0,81
250250702003006,0,0,80
250250702003002,0,0,80
250250702001009,0,0,81
250250702001008,3,1,81
250250702001006,0,0,81
250250702001015,512,251,81
250250702001016,0,0,81
250250702001010,181,23,82
250250702001007,0,0,82
250250702001011,254,121,82
250250702001012,0,0,82
250250702001013,0,0,83
250250701011037,0,0,82
250250701011036,0,0,82
250250701011038,0,0,20
250250701011068,0,0,83
250250704021007,0,0,114
250250702003010,0,0,83
250250702003011,0,0,83
250250704021008,0,0,115
250250702002004,217,104,83
250250702002001,91,36,83
250250704021005,0,0,114
250250701011067,0,0,115
250250704021012,0,0,114
250250702003007,233,162,83
250250702002002,304,90,83
250250702002000,521,214,83
250250704021004,0,0,114
250250702003008,506,200,83
250250702002003,0,0,83
250250704021003,0,0,115
250250702002005,0,0,83
250250704021006,0,0,114
250250107011007,144,98,84
250250108021004,140,96,84
250259815011028,0,0,26
250250108023002,198,153,84
250250107012002,76,34,94
250250108023000,0,0,84
250250107012000,222,137,84
250250107011008,150,90,84
250250107011006,242,4,84
250259815011029,0,0,26
250250107012001,107,81,84
250250108021006,85,68,92
250250108021003,190,141,84
250250107012003,142,114,94
250250107012004,121,100,94
250250108023001,235,185,84
250250108021007,148,76,92
250250108021000,141,95,84
250250108023003,153,113,84
250259815011019,0,0,26
250259815011018,0,0,26
250250108013006,193,146,85
250250108013004,254,217,85
250250107022003,173,64,85
250250108013005,164,129,85
250250108013002,237,155,85
250250107022005,22,16,88
250250107022000,172,141,85
250250108013003,307,220,85
250250107022004,75,54,88
250250107022001,175,106,85
250250108013001,0,0,85
250250107022002,158,84,85
250250108012002,232,156,85
250250108013000,0,0,85
250250107021008,31,4,88
250250107021007,29,18,88
250250108011001,245,157,86
250250201012008,0,0,86
250250107023004,333,251,86
250259815011013,0,0,26
250250108012000,0,0,86
250250201012010,78,59,26
250250107023003,0,0,91
250250107023006,168,150,91
250250201012007,0,0,86
250250108012001,260,195,86
250250107023005,111,77,86
250250108011000,244,60,86
250250201012005,0,0,26
250250108011002,175,137,86
250250108012003,279,214,86
250250107023007,8,0,91
250259815011011,0,0,26
250250107023001,66,40,86
250250107023002,50,35,91
250250108012004,193,113,86
250259815011012,0,0,26
250250107023000,116,84,86
250250107013008,86,57,93
250250107013003,31,27,92
250250107013004,92,69,87
250250107013010,18,11,93
250250108022005,241,161,92
250250107013007,89,72,87
250250107013009,76,55,93
250250107013000,0,0,87
250250107013005,139,117,87
250250107013002,47,32,87
250250107013001,151,102,87
250250107013006,49,39,87
250250107021009,290,212,88
250250107021006,110,96,90
250250107021013,0,0,90
250250107021011,141,119,89
250250107021010,27,13,88
250250107021012,12,6,89
250250107023009,92,56,91
250250107021000,8,8,97
250250107023008,18,3,91
250250107021001,10,6,97
250250101041003,70,46,257
250259815011030,0,0,26
250250108022004,278,191,92
250250108022001,295,182,92
250250108022003,295,209,92
250250101041005,19,12,257
250250108022000,0,0,92
250250108021002,143,98,92
250259815011031,0,0,26
250250108021005,121,75,92
250250108022002,312,228,92
250259815011062,0,0,92
250250108021001,84,35,92
250250105001002,0,0,108
250250105001000,0,0,108
250250107013012,0,0,93
250250105001001,0,0,108
250250107013011,0,0,93
250250107011003,150,80,95
250250107011004,85,84,94
250250107011001,39,42,95
250250107011000,31,39,95
250250107011005,151,91,94
250250107011002,40,24,95
250250106001008,0,0,106
250250106001007,325,244,106
250250107021005,0,0,96
250250107021003,0,0,98
250250107021002,0,0,97
250250703001002,0,0,98
250250703001004,0,0,100
250250203032059,4,4,2
250250203032061,0,0,1
250250203011008,0,0,1
250250203032020,0,0,1
250250203032019,0,0,1
250250203032017,0,0,1
250250203032011,0,0,1
250250203032009,0,0,1
250250203032055,0,0,1
250250203032018,0,0,1
250250203032060,0,0,1
250250203032031,0,0,2
250250203032010,0,0,1
250250203011000,0,0,1
250250203032015,0,0,1
250250203032032,10,0,2
250250203011007,0,0,1
250250203011005,0,0,21
250250203032014,0,0,1
250250203032006,0,0,1
250250203011002,0,0,1
250250203011004,0,0,1
250250203032008,0,0,1
250250203032054,0,0,1
250250203011003,0,0,1
250250203032057,0,0,1
250250203032056,0,0,1
250250203032013,727,0,1
250250203011001,0,0,21
250250203032016,0,0,1
250250203032012,0,0,1
250250203032021,0,0,4
250250203032046,12,5,3
250250203032047,0,0,3
250250203032029,0,0,4
250250203032030,0,0,4
250250203032023,0,0,4
250250203032039,0,0,3
250250203032036,0,0,4
250250203032049,0,0,3
250250203032042,0,0,3
250250203032037,0,0,4
250250203032050,0,0,3
250250203032041,305,241,3
250250203032035,0,0,4
250250203032044,0,0,3
250250203032034,0,0,4
250250203032048,5,3,3
250250203032026,6,3,4
250250203032038,0,0,4
250250203032040,0,0,3
250250203032043,0,0,3
250250203032045,0,0,3
250250203032058,0,0,3
250250203032033,0,0,3
250250203032025,7,3,4
250250203032027,0,0,4
250250305001022,0,0,5
250250203032028,0,0,4
250250203032024,0,0,4
250250301002004,175,127,6
250250301002003,241,146,5
250250301002002,171,116,5
250250301001000,184,140,5
250250304001005,182,121,8
250250305001006,0,0,5
250250301001001,84,64,5
250250304001000,265,181,8
250250302001004,56,38,6
250250301002005,40,21,6
250250301002000,16,12,5
250250301001004,39,30,5
250250301001003,50,33,5
250250302001000,185,129,6
250250304001004,73,49,8
250250301001007,78,61,5
250250301001002,0,0,5
250250301001006,236,175,5
250250304001002,188,121,5
250250301001005,33,28,5
250250301001008,349,259,5
250250301002006,131,80,6
250250304001001,35,19,8
250250301002001,127,85,6
250250305003002,202,143,8
250250302001015,0,0,6
250250302001002,293,173,6
250250303003008,0,0,32
250250302001010,67,47,6
250250302001006,0,0,6
250250303003009,0,0,37
250250303003000,0,0,32
250250302001008,62,39,6
250250302001003,390,248,6
250250302001012,115,72,6
250250203032052,0,0,32
250250302001018,0,0,37
250250303003001,0,0,32
250250303003006,0,0,37
250250203032053,0,0,32
250250302001019,0,0,6
250250302001001,98,85,6
250250302001020,16,11,6
250250302001017,0,0,6
250250302001005,27,18,6
250250302001007,85,60,6
250250302001009,83,56,6
250250302001014,0,0,6
250250302001011,44,32,6
250250302001016,0,0,6
250250302001013,144,95,6
250250304001007,109,86,10
250250305001011,54,0,7
250250305001025,0,0,7
250250304001008,12,7,10
250250305001013,125,135,7
250250305001008,0,0,7
250250305002005,10,4,9
250250304001009,94,71,10
250250304001010,0,0,11
250250305001012,0,0,7
250250305002003,118,78,9
250250305001020,42,23,7
250250304001006,114,74,10
250250305002000,51,38,9
250250305002007,264,168,9
250250305002010,1,1,9
250250305002009,113,105,9
250250305002011,12,10,9
250250305002008,43,26,9
250250305003000,194,146,9
250250305001018,0,0,7
250250305002002,0,0,9
250250305001015,0,0,7
250250305002001,178,104,9
250250305001007,0,0,7
250250305003003,101,48,9
250250305002012,80,52,9
250250305003001,312,190,8
250250305001014,424,249,7
250250305002004,42,24,9
250250305002006,113,77,9
250250304001003,234,138,8
250250304002000,388,297,10
250250304002004,0,0,10
250250303002004,103,0,11
250250303002001,11,7,11
250250303002000,223,142,11
250250303001007,261,183,11
250250304001014,46,28,10
250250303002006,316,227,11
250250304002006,0,0,37
250250304002003,82,62,10
250250304002001,108,72,10
250250304001012,62,34,10
250250304002002,268,171,10
250250303002005,148,87,11
250250303002003,36,21,11
250250304002005,86,63,10
250250304001013,1,3,10
250250303002002,30,23,11
250250303001016,0,0,11
250250303001008,183,123,11
250250303002012,0,0,39
250250303001006,1,1,11
250250303001004,0,0,11
250250303002007,154,82,11
250250303002008,0,0,11
250250303002010,196,0,39
250250303001017,0,0,39
250250303002009,0,0,39
250250304001011,104,62,11
250250303001005,57,37,11
250250303001014,0,0,12
250250303001026,0,0,39
250250303001002,0,0,12
250250303001022,0,0,39
250250303001003,89,46,12
250250303001015,0,0,12
250250303001021,0,0,39
250250303001001,140,115,12
250250701018027,0,0,68
250250701018024,0,0,50
250250303001030,24,22,13
250250303001023,0,0,46
250250303001018,0,0,13
250250303001011,0,0,13
250250303001012,0,0,13
250250701018021,0,0,50
250250701018022,0,0,50
250250701018000,0,0,50
250250701018009,2,2,50
250250303001033,0,0,50
250250303001013,0,0,13
250250701018025,0,0,13
250250701018023,0,0,50
250250701018020,0,0,50
250250701018002,0,0,50
250250303001019,312,202,13
250250303001020,0,0,13
250250303001029,631,520,13
250250701018008,0,0,50
250250701018001,0,0,50
250250303001031,0,0,13
250250701018026,0,0,13
250250303001032,0,0,13
250250701018030,0,0,67
250250701011009,0,0,15
250250701011000,0,0,14
250250701018069,0,0,14
250250701018031,0,0,67
250250701011004,201,144,14
250250701011010,0,0,15
250250701018032,0,0,67
250250701018028,0,0,67
250250701018029,0,0,14
250250701011012,0,0,15
250250701011007,0,0,15
250250701011018,0,0,16
250250701011011,0,0,15
250250701018039,0,0,66
250250701018041,0,0,66
250250701011017,0,0,66
250250701018042,0,0,66
250250701011013,0,0,66
250250701018040,0,0,66
250250701011014,0,0,66
250250701011032,0,0,15
250250701011008,0,0,15
250250701011025,117,86,17
250250701011015,0,0,65
250250701011019,0,0,16
250250701018066,0,0,65
250250701011021,0,0,65
250250701011016,0,0,65
250250701011020,0,0,16
250250701011047,46,23,17
250250701011048,12,8,17
250250701011026,34,0,17
250250701011028,116,65,17
250250701011044,0,0,18
250250701011049,100,70,18
250250701011031,89,53,18
250250701011029,0,0,19
250250701011057,0,0,19
250250701011030,0,0,19
250250612001001,0,0,146
250250701011027,0,0,19
250250612001045,0,0,147
250250612001047,0,0,147
250250701011050,0,0,20
250250704021002,0,0,115
250250701011066,0,0,20
250250612001048,0,0,147
250250701011065,0,0,20
250250701011055,0,0,20
250250704021026,0,0,115
250250701011062,0,0,20
250250612001037,0,0,146
250250701011070,0,0,20
250250612001044,0,0,130
250250704021000,0,0,20
250250701011039,0,0,20
250250612001038,0,0,146
250250704021025,0,0,20
250250704021001,0,0,115
250250701011064,0,0,20
250250704021029,0,0,20
250250701011054,0,0,20
250250701011052,0,0,20
250250612001013,0,0,146
250250612001041,0,0,130
250250612001051,117,129,147
250250701011053,0,0,20
250250704021030,0,0,20
250250701011063,0,0,20
250250704021031,0,0,20
250250701011051,0,0,20
250250704021028,0,0,20
250250612001046,0,0,147
250250704021027,0,0,20
250173521021025,0,0,628
250250203011009,0,0,22
250250203011014,0,0,24
250259815011002,0,0,22
250250203011011,0,0,22
250259815011003,0,0,22
250250203012000,1673,1209,21
250250203031000,878,693,21
250250203011019,0,0,22
250250203011012,182,145,24
250250203011006,0,0,21
250250203012001,0,0,21
250250203033000,1179,789,21
250250203011010,0,0,22
250250203011013,49,53,24
250250203011016,1,1,23
250250203011021,0,0,22
250259815011006,0,0,22
250250203011020,0,0,22
250250203011017,0,0,23
250250203011018,3,4,23
250250202002000,0,0,27
250250203011015,115,2,24
250250202003007,0,0,25
250250202003006,97,59,25
250259815011004,0,0,25
250250202002001,0,0,27
250250202003001,0,0,25
250259815011010,0,0,25
250250202003008,301,195,25
250250202003009,292,183,25
250250201012000,285,255,25
250250202002005,256,197,27
250259815011005,0,0,25
250250201014005,114,77,25
250250201014004,92,60,25
250250202002006,54,41,27
250250202003005,0,0,25
250250202003000,0,0,25
250250202002002,194,126,27
250250202003010,434,297,25
250250202003004,0,0,25
250250202003002,0,0,25
250250202003003,0,0,25
250250202002007,95,58,27
250250201014002,224,145,25
250250201014003,102,62,25
250173531022015,0,0,643
250250201012001,118,75,26
250259815011009,0,0,26
250250201011006,87,54,26
250250201012006,67,39,26
250250201012002,19,13,26
250259815011008,0,0,26
250250201011007,87,55,26
250250703001001,115,91,72
250250201012013,4,4,26
250250201012012,84,51,26
250250201014009,137,82,28
250259815011015,0,0,26
250259815011023,5,0,26
250250201011004,88,40,26
250250201014008,74,42,28
250259815011022,0,0,26
250250201011003,34,28,26
250250201013005,38,21,28
250259817001002,0,0,71
250250201012011,110,100,26
250250201012009,34,27,26
250250201013006,35,27,28
250250201012003,97,68,26
250250201011005,119,88,26
250250201011002,101,75,26
250250201012004,0,0,26
250250202002008,68,52,27
250250202001002,178,108,27
250250202002004,317,210,27
250250202001000,511,395,27
250250202002003,275,163,27
250250202001004,90,56,27
250250202001003,163,106,27
250250202001001,324,232,27
250250201014001,157,135,28
250250201013000,379,247,28
250250201014007,0,0,28
250250201013004,49,42,28
250250201013007,42,25,28
250250201013008,229,127,28
250250201011000,99,49,28
250250201014006,138,59,28
250250201014000,224,160,28
250250201013001,7,4,28
250250201013003,245,159,28
250250201011001,152,91,28
250250201013002,244,169,28
250250303003010,0,0,32
250250303003004,93,0,32
250250203032051,94,0,29
250250303003005,0,0,32
250250203021003,182,116,30
250250203021002,132,78,30
250250203021001,73,40,30
250250203021004,359,222,30
250250203021000,266,148,30
250250203021007,22,17,31
250250203021006,0,0,31
250250203021005,147,100,31
250250303003007,20,0,37
250250303003003,0,0,32
250250303003020,0,0,36
250250303003002,0,0,32
250250303003013,0,0,37
250250303003023,0,0,36
250250303003024,127,76,33
250250303003031,758,364,34
250250303003025,0,0,35
250250303003029,0,0,36
250250303003016,0,0,37
250250303003021,0,0,36
250250303003012,0,0,37
250250303003022,300,59,36
250250303003019,0,0,37
250250303002011,0,0,39
250250303002013,0,0,39
250250303003015,0,0,37
250250303003017,0,0,37
250250303003011,0,0,37
250250303003014,5,2,37
250250303003018,0,0,37
250250303003030,0,0,38
250250303002016,0,0,39
250250303002022,9,11,46
250250303002015,0,0,39
250250303002020,0,0,39
250250303002017,0,0,39
250250303002014,0,0,39
250250303002019,0,0,39
250250303002021,0,0,46
250250303002018,0,0,39
250250303001024,0,0,46
250250303001025,0,0,46
250250701013004,35,11,40
250250701013005,0,9,47
250250303003027,0,0,41
250250303003026,0,0,41
250250303003028,2,2,41
250250701013003,0,0,47
250250303004002,548,465,42
250250303004000,0,0,43
250250303004001,0,0,43
250250303002030,0,0,44
250250303002028,0,0,44
250250303002029,0,0,44
250250303002034,0,13,45
250250303002033,3,2,45
250250303002027,0,0,45
250250303002026,33,94,46
250250303002031,0,0,49
250250303002032,0,0,45
250250701018006,0,0,50
250250303002025,0,0,46
250250303002023,0,0,46
250250303002024,0,0,46
250250701018004,0,0,50
250250303001027,0,0,46
250250701018005,0,0,50
250250701018003,0,0,50
250250701012000,0,0,52
250250701013000,0,0,47
250250701013002,0,0,47
250250701013007,23,130,47
250250701013001,0,0,47
250250303004004,0,0,48
250250303004005,0,0,48
250250303004006,0,0,48
250250303004003,0,0,48
250250701018037,0,0,54
250250701018013,9,8,50
250250701018012,0,0,50
250250701018014,0,0,50
250250701018015,0,0,50
250250701018016,0,0,50
250250701018018,46,44,50
250250701018019,1,1,50
250250701018011,111,96,50
250250701018017,5,4,50
250250701018007,0,0,50
250250701018010,0,0,50
250250701013006,13,7,51
250250701013008,315,216,61
250250701012001,6,0,52
250250701012004,0,0,52
250250701018054,27,0,55
250250701012002,0,0,63
250250701012003,12,1,52
250250701018048,0,0,55
250250701012005,0,0,52
250250701018045,0,0,53
250250701018036,0,0,53
250250701018047,0,0,53
250250701018046,0,0,53
250250701018052,0,0,55
250250701018053,8,4,55
250250701018068,0,0,59
250250701018051,0,0,56
250250701018044,0,0,57
250250701018035,0,0,57
250250701018038,0,0,58
250250701018049,0,0,59
250250701018057,0,0,65
250250701018050,0,0,59
250250701018067,0,0,60
250250701013009,108,17,62
250250701012007,102,0,63
250250701014000,1025,510,62
250250701014002,862,431,62
250250701012011,0,0,70
250250701014001,0,0,62
250250701012012,2,1,70
250250701012008,0,0,63
250250701012006,0,0,63
250250701012009,0,0,63
250250701018055,125,25,64
250250701018056,3,2,64
250250701018062,0,0,70
