OBJECTID,STATION,C_RAILSTAT,AMTRAK,MAP_STA,LINE_BRNCH,STATE,X,Y
94,SOUTH STATION,Y,Y,Y,MULTIPLE,MA,236666.8950000000,900203.8835999999
115,NORTH STATION,Y,Y,Y,MULTIPLE (WESTERN ROUTE),MA,236056.1493000000,901847.3382000000
119,EAST WEYMOUTH,Y,,Y,GREENBUSH LINE,MA,247743.9960000000,885601.1480000000
134,CHELSEA,Y,,Y,NEWBURYPORT/ROCKPORT LINE,MA,238413.0716000000,905100.7764000000
137,WALPOLE,Y,,Y,FRANKLIN LINE,MA,219992.5846000000,877239.2704000000
141,ROWLEY,Y,,Y,NEWBURYPORT LINE,MA,252536.9010000000,941801.1590000000
142,SALEM,Y,,Y,NEWBURYPORT/ROCKPORT LINE,MA,249629.2920000000,919444.9671000000
143,SWAMPSCOTT,Y,,Y,NEWBURYPORT/ROCKPORT LINE,MA,247554.9793000000,913907.5910000000
144,RIVER WORKS,Y,,Y,NEWBURYPORT/ROCKPORT LINE,MA,243617.9942000000,911166.7153000000
145,ASHLAND,Y,,Y,WORCESTER LINE,MA,201970.4557000000,890061.9597000000
146,SOUTHBOROUGH,Y,,Y,WORCESTER LINE,MA,198032.7362000000,890742.5222000000
147,WESTBOROUGH,Y,,Y,WORCESTER LINE,MA,187740.7187000000,890989.0844000001
148,GRAFTON,Y,,Y,WORCESTER LINE,MA,184764.3744000000,888535.5838000000
149,IPSWICH,Y,,Y,NEWBURYPORT LINE,MA,254048.2297000000,936463.8455000001
150,ROCKPORT,Y,,Y,ROCKPORT LINE,MA,271639.9518000000,934325.9081999999
151,WEST GLOUCESTER,Y,,Y,ROCKPORT LINE,MA,265138.5133000000,929281.0321000000
152,MONTSERRAT,Y,,Y,ROCKPORT LINE,MA,251853.5929000000,923727.1458000001
153,PRIDES CROSSING,Y,,Y,ROCKPORT LINE,MA,255428.2166000000,923437.1934000000
154,BEVERLY FARMS,Y,,Y,ROCKPORT LINE,MA,256474.3109000000,923663.8806000000
155,MANCHESTER,Y,,Y,ROCKPORT LINE,MA,259901.5749000000,925034.0935000000
156,FOXBORO (SPECIAL EVENT),S,,Y,FOXBORO (SPECIAL EVENTS ONLY),MA,219816.0692000000,871405.2068000000
157,HYDE PARK,Y,,Y,PROVIDENCE/STOUGHTON LINE,MA,230904.7109000000,889482.8676000000
158,FOREST HILLS,Y,,Y,NEEDHAM LINE,MA,231777.4145000000,894406.2116000000
159,BACK BAY,Y,Y,Y,PROVIDENCE/STOUGHTON LINE,MA,235008.3686000000,899750.7079000000
160,HALIFAX,Y,,Y,OLD COLONY KINGSTON/PLYMOUTH BRANCH,MA,256257.5296000000,862734.7689000000
161,SOUTH WEYMOUTH,Y,,Y,OLD COLONY KINGSTON/PLYMOUTH BRANCH,MA,245230.9019000000,878337.0840000000
162,WHITMAN,Y,,Y,OLD COLONY KINGSTON/PLYMOUTH BRANCH,MA,247688.9965000000,870447.5826000000
163,KINGSTON,Y,,Y,OLD COLONY KINGSTON/PLYMOUTH BRANCH,MA,264326.7761000000,858737.3833000000
164,STOUGHTON,Y,,Y,PROVIDENCE/STOUGHTON LINE,MA,232795.8841000000,874894.3329000000
165,FRAMINGHAM,Y,Y,Y,WORCESTER LINE,MA,206606.0930000000,891751.4246000000
166,WELLESLEY FARMS,Y,,Y,WORCESTER LINE,MA,218788.0212000000,897043.0867000000
167,AUBURNDALE,Y,,Y,WORCESTER LINE,MA,220575.4903000000,899519.4622000000
168,NEWTONVILLE,Y,,Y,WORCESTER LINE,MA,224138.3815000000,900143.0875000000
169,WEST NEWTON,Y,,Y,WORCESTER LINE,MA,222136.6468000000,899738.1498000000
170,WELLESLEY HILLS,Y,,Y,WORCESTER LINE,MA,218396.0056000000,895635.8364000000
171,YAWKEY,Y,,Y,WORCESTER LINE,MA,232918.6112000000,899761.4645000000
172,BACK BAY,Y,Y,Y,WORCESTER LINE,MA,235009.3965000000,899774.1259000000
173,WEST NATICK,Y,,Y,WORCESTER LINE,MA,208952.7852000000,892532.2105000000
174,WELLESLEY SQUARE,Y,,Y,WORCESTER LINE,MA,216908.8491000000,894099.6485000000
175,MELROSE HIGHLANDS,Y,,Y,HAVERHILL LINE,MA,235485.7270000000,913230.8404000000
176,MELROSE/CEDAR PARK,Y,,Y,HAVERHILL LINE,MA,235375.5395000000,912159.7152000000
177,WAKEFIELD,Y,,Y,HAVERHILL LINE,MA,234869.1017000000,916958.7786000000
178,READING,Y,,Y,HAVERHILL LINE,MA,231989.8198000000,919263.5289000000
180,NORTH SCITUATE,Y,,Y,GREENBUSH LINE,MA,258994.7411000000,885616.5662000000
181,NANTASKET JUNCTION,Y,,Y,GREENBUSH LINE,MA,252163.1938000000,888469.8561000000
182,GREENBUSH,Y,,Y,GREENBUSH LINE,MA,262245.3822000000,881093.5051000000
186,BUZZARDS BAY (S),S,,Y,CAPE COD MAIN LINE,MA,273510.9559000000,833109.2013000000
204,BRADFORD,Y,,Y,HAVERHILL LINE,MA,233839.4911000000,946541.0342000000
209,LAWRENCE,Y,,Y,HAVERHILL LINE,MA,228538.3166000000,939079.5932000000
30,WINCHESTER CENTER,Y,,Y,LOWELL LINE,MA,229834.3666000000,911366.6523000000
31,WEST MEDFORD,Y,,Y,LOWELL LINE,MA,230174.4605000000,907986.8392000000
32,NORTH BILLERICA,Y,,Y,LOWELL LINE,MA,217962.1294000000,927033.0924000000
33,WILMINGTON,Y,,Y,LOWELL LINE,MA,226644.4750000000,922000.9667000000
37,FRANKLIN/DEAN COLLEGE,Y,,Y,FRANKLIN LINE,MA,208526.9577000000,870257.1437000000
38,NORFOLK,Y,,Y,FRANKLIN LINE,MA,214439.3650000000,874473.3321999999
39,PLIMPTONVILLE,Y,,Y,FRANKLIN LINE,MA,221816.5381000000,878764.1458000001
40,WINDSOR GARDENS,Y,,Y,FRANKLIN LINE,MA,223077.8664000000,880107.8961000000
42,MORTON STREET,Y,,Y,FAIRMOUNT LINE,MA,234123.6493000000,892258.6871000000
43,FAIRMOUNT,Y,,Y,FAIRMOUNT LINE,MA,231455.1333000000,889380.3981000000
