ID,AREA,TOWN,X,Y
2450,4.25,Norton,226486.24899,853782.14868
2580,5.38,Taunton,227948.71116,851374.79205
2581,5.00,Taunton,228550.31007,848587.11148
2582,1.87,Taunton,231716.30275,846768.10943
2584,0.27,Taunton,233559.55875,847671.44849
2607,1.05,Taunton,234902.33275,847403.09651
2608,0.32,Taunton,237140.79279,846143.68194
2609,3.53,Taunton,238445.77449,846579.55101
2610,3.66,Taunton,240457.04388,846251.39118
2451,2.01,Norton,225780.82086,855970.58891
2455,3.36,Norton,223708.30902,853837.92956
2449,4.01,Norton,228286.20544,857312.79358
2579,2.58,Taunton,230085.44255,853160.75060
2595,1.07,Taunton,231540.19469,850799.31883
2586,0.72,Taunton,231374.16441,849120.48560
2583,1.10,Taunton,232682.58593,848150.51849
2585,0.38,Taunton,233529.05348,849107.22566
2591,0.32,Taunton,234295.81746,849245.26744
2606,1.13,Taunton,235642.08573,848054.39670
2454,1.61,Norton,221373.60050,856968.78185
2504,2.96,Attleboro,219608.20177,857207.03095
2512,1.04,Attleboro,220174.46022,854655.37834
2518,4.45,Attleboro,221380.49771,852707.14929
2514,0.12,Attleboro,218682.45231,854296.93236
2515,0.73,Attleboro,218251.03352,853618.18755
2517,2.31,Attleboro,218206.45933,851372.57836
2516,1.03,Attleboro,217521.46619,852438.60605
2500,0.68,Attleboro,215542.95281,851066.06469
2499,2.40,Attleboro,214604.26497,851579.00331
2501,0.96,Attleboro,215945.60748,853486.02621
2498,2.81,Attleboro,213538.93865,853045.78329
2483,1.01,North Attleborough,213789.25807,855582.60084
2487,0.35,North Attleborough,212767.57942,854472.59318
2486,0.51,North Attleborough,212774.18540,856122.76941
2481,0.61,North Attleborough,214011.95637,857174.75731
2502,0.84,Attleboro,215568.99957,855780.12328
2494,0.31,Attleboro,212046.22499,852319.29330
2490,2.74,North Attleborough,210844.99746,854009.59771
2488,0.11,North Attleborough,212470.74012,855140.02401
2485,2.03,North Attleborough,211205.42402,856637.06545
2503,1.69,Attleboro,217485.03628,856731.15625
2508,0.68,Attleboro,216306.76363,855008.58119
2495,0.63,Attleboro,211748.10839,850779.09005
2492,0.90,Attleboro,210713.37079,851559.29922
2489,0.18,North Attleborough,212245.52041,854404.14667
2469,1.49,North Attleborough,217866.76868,859497.97574
2509,0.55,Attleboro,216976.26220,854251.53781
2497,0.31,Attleboro,212551.28843,850041.89024
2496,0.30,Attleboro,211306.14207,849736.02638
2491,0.58,Attleboro,210472.74609,850194.12815
2427,2.42,Mansfield,220405.60125,859909.15380
2510,0.10,Attleboro,217813.51759,854822.61737
2429,2.03,Mansfield,222764.07499,860839.68291
2453,2.24,Norton,222742.33833,857288.72250
2506,0.16,Attleboro,218292.42312,855748.65649
2505,0.62,Attleboro,219302.44909,855548.18118
2511,0.10,Attleboro,218529.78869,854926.60539
2513,0.11,Attleboro,218259.20930,854582.20674
2447,1.29,Norton,225571.36282,859741.89282
2452,2.90,Norton,224069.20601,858483.96731
2444,2.03,Norton,227201.75834,860854.23619
2448,0.74,Norton,226074.64500,858057.35538
2445,2.49,Norton,229341.96490,859641.58202
2446,2.35,Norton,231200.24302,859139.59542
2710,4.23,Plymouth,266248.96406,851886.08786
