STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_AREA,SHAPE_LEN
25,027,730200,25027730200,7302,Census Tract 7302,G5020,4082519.00000000,10906.00000000,+42.3158375,-071.7804674,44058157.24000000,1011.43610000,5583,2477,0190095,171640,0004107,0171640,4093153.11397999991,11671.23250520000
25,025,981300,25025981300,9813,Census Tract 9813,G5020,7157254.00000000,2015092.00000000,+42.3611289,-071.0069754,77303253.63000000,1774.63850000,389,245,0175667,148657,0004039,0148657,7181735.97919000033,17658.78174030000
25,027,731202,25027731202,7312.02,Census Tract 7312.02,G5020,99200.00000000,0.00000000,+42.2515091,-071.8234550,1067707.62000000,24.51120000,1111,1,0190164,171709,0004122,0171709,99193.68754699999,1335.68610549000
25,025,110103,25025110103,1101.03,Census Tract 1101.03,G5020,935088.00000000,0.00000000,+42.2961825,-071.1157388,10064472.96000000,231.04850000,5460,2353,0175396,148386,0003977,0148386,935023.87839500001,7163.48287189000
25,027,733000,25027733000,7330,Census Tract 7330,G5020,1685312.00000000,10045.00000000,+42.2466163,-071.8134518,18247351.03000000,418.90150000,3762,1396,0190272,171817,0004147,0171817,1695241.15167999989,6203.99821594000
25,027,732001,25027732001,7320.01,Census Tract 7320.01,G5020,1108317.00000000,4552.00000000,+42.3075850,-071.7734545,11977968.27000000,274.97630000,3327,1170,0190212,171757,0004132,0171757,1112794.15403999994,4758.31097608000
25,027,731400,25027731400,7314,Census Tract 7314,G5020,729167.00000000,0.00000000,+42.2584573,-071.8161911,7848120.51000000,180.16810000,4673,1775,0190178,171723,0004126,0171723,729117.17376799998,3945.29024071000
25,025,981600,25025981600,9816,Census Tract 9816,G5020,586984.00000000,158872.00000000,+42.3886205,-070.9934424,6512223.54000000,149.50010000,0,0,0175674,148664,0004042,0148664,605007.78204800002,6234.44548273000
25,027,730600,25027730600,7306,Census Tract 7306,G5020,6291950.00000000,30242.00000000,+42.2979763,-071.8252060,68046543.34000000,1562.13370000,8799,3007,0190120,171665,0004112,0171665,6321755.99966999982,12519.11135400000
25,027,732802,25027732802,7328.02,Census Tract 7328.02,G5020,5583811.00000000,25337.00000000,+42.2287054,-071.7748010,60371866.50000000,1385.94730000,4122,1698,0190260,171805,0004144,0171805,5608752.41311000008,10701.47811750000
25,027,732902,25027732902,7329.02,Census Tract 7329.02,G5020,911351.00000000,25313.00000000,+42.2380581,-071.8056571,10081415.16000000,231.43740000,2459,25,0190270,171815,0004146,0171815,936597.85569899995,4641.01804974000
25,027,731204,25027731204,7312.04,Census Tract 7312.04,G5020,411261.00000000,3084.00000000,+42.2450472,-071.8263878,4459632.26000000,102.37910000,2498,868,0190171,171716,0004124,0171716,414315.06291099999,2713.26957839000
25,027,731203,25027731203,7312.03,Census Tract 7312.03,G5020,751557.00000000,9011.00000000,+42.2501074,-071.8252790,8186054.96000000,187.92600000,5198,2276,0190166,171711,0004123,0171711,760512.39594900003,5590.34449454000
25,027,732301,25027732301,7323.01,Census Tract 7323.01,G5020,2831296.00000000,53699.00000000,+42.2491030,-071.7561030,31051464.02000000,712.84350000,4155,1827,0190229,171774,0004137,0171774,2884786.92246000003,10985.12494600000
25,027,732302,25027732302,7323.02,Census Tract 7323.02,G5020,888674.00000000,0.00000000,+42.2536879,-071.7745048,9564919.23000000,219.58030000,3902,1716,0190233,171778,0004138,0171778,888613.62840399996,4317.72964707000
25,025,170601,25025170601,1706.01,Census Tract 1706.01,G5020,1277344.00000000,85936.00000000,+42.4073348,-071.0076986,13748344.31000000,315.61860000,5105,2007,0175609,148599,0004023,0148599,1277268.06960999989,6440.22480115000
25,025,160502,25025160502,1605.02,Census Tract 1605.02,G5020,1152306.00000000,282671.00000000,+42.3965390,-071.0183981,12423216.96000000,285.19780000,4460,1589,0175564,148554,0004014,0148554,1154159.22078999993,6321.39013853000
25,017,339500,25017339500,3395,Census Tract 3395,G5020,1200063.00000000,18928.00000000,+42.4118086,-071.1152915,13120296.02000000,301.20060000,5399,1690,0102362,106791,0003414,0106791,1218920.28205000004,6327.94302756000
25,025,051101,25025051101,511.01,Census Tract 511.01,G5020,1159406.00000000,623214.00000000,+42.3854556,-071.0043188,12481789.43000000,286.54250000,6093,2345,0175055,148045,0003899,0148045,1159600.83465999993,8479.43385280000
25,025,990101,25025990101,9901.01,Census Tract 9901.01,G5020,0.00000000,134592489.00000000,+42.3296110,-070.9491995,480973.48000000,11.04160000,0,0,0175680,148670,0004045,0148670,44684.06740810000,1690.86604593000
25,025,981501,25025981501,9815.01,Census Tract 9815.01,G5020,915439.00000000,1178787.00000000,+42.3524288,-071.0878101,9855271.20000000,226.24590000,12,0,0175670,148660,0004040,0148660,915588.29290400003,27384.14452310000
25,025,981201,25025981201,9812.01,Census Tract 9812.01,G5020,786643.00000000,1328333.00000000,+42.3320503,-071.0270465,8466782.86000000,194.37060000,0,0,0175663,148653,0004037,0148653,786593.01047099999,13619.12068300000
25,025,100200,25025100200,1002,Census Tract 1002,G5020,350592.00000000,0.00000000,+42.2848004,-071.0857215,3773472.45000000,86.62700000,2787,1013,0175329,148319,0003964,0148319,350568.45517299999,2776.36900976000
25,025,081200,25025081200,812,Census Tract 812,G5020,282374.00000000,0.00000000,+42.3244316,-071.1038626,3039251.67000000,69.77160000,3265,1232,0175185,148175,0003932,0148175,282356.84602599998,2424.66603899000
25,027,736200,25027736200,7362,Census Tract 7362,G5020,6496193.00000000,439528.00000000,+42.2124221,-071.8584709,74649897.09999999,1713.72580000,3722,1535,0190296,171841,0004153,0171841,6935230.11443999968,12326.61618310000
25,025,981700,25025981700,9817,Census Tract 9817,G5020,314777.00000000,14973.00000000,+42.3550872,-071.0657432,3549169.38000000,81.47770000,0,0,0175676,148666,0004043,0148666,329729.94687200000,2436.40965545000
25,025,981800,25025981800,9818,Census Tract 9818,G5020,703274.00000000,393640.00000000,+42.3231211,-071.1168818,11806322.09000000,271.03590000,82,49,0175678,148668,0004044,0148668,1096847.59526999993,12499.10171680000
25,025,010408,25025010408,104.08,Census Tract 104.08,G5020,43381.00000000,0.00000000,+42.3431682,-071.0958461,466915.08000000,10.71890000,1426,961,0174941,147931,0003867,0147931,43377.99667070000,855.33004909200
25,025,160501,25025160501,1605.01,Census Tract 1605.01,G5020,385601.00000000,0.00000000,+42.3983070,-071.0328709,4150305.94000000,95.27790000,5604,1971,0175558,148548,0004013,0148548,385577.57396600000,3084.20332243000
25,025,010701,25025010701,107.01,Census Tract 107.01,G5020,202317.00000000,0.00000000,+42.3497223,-071.0838808,2177562.16000000,49.98990000,2478,1599,0174950,147940,0003870,0147940,202302.95194400000,2102.49611695000
25,025,160602,25025160602,1606.02,Census Tract 1606.02,G5020,741842.00000000,0.00000000,+42.4071974,-071.0328182,7984562.28000000,183.30030000,4675,1800,0175571,148561,0004016,0148561,741793.07845799997,4009.87074571000
25,025,030200,25025030200,302,Census Tract 302,G5020,66711.00000000,0.00000000,+42.3645208,-071.0569750,718033.85000000,16.48380000,1665,1103,0174987,147977,0003880,0147977,66707.78734450000,1363.69117925000
25,025,170702,25025170702,1707.02,Census Tract 1707.02,G5020,685965.00000000,0.00000000,+42.4065669,-070.9974758,7383188.51000000,169.49470000,6628,2319,0175617,148607,0004025,0148607,685923.41251900000,3534.42698988000
25,017,339700,25017339700,3397,Census Tract 3397,G5020,1269385.00000000,70195.00000000,+42.4059665,-071.1027538,14099773.85000000,323.68630000,3878,1684,0102374,106803,0003416,0106803,1309917.07541000005,7085.85540941000
25,025,010600,25025010600,106,Census Tract 106,G5020,339505.00000000,0.00000000,+42.3476385,-071.0793851,3654163.73000000,83.88810000,2858,2325,0174947,147937,0003869,0147937,339484.27646999998,3032.09004595000
25,017,339600,25017339600,3396,Census Tract 3396,G5020,825405.00000000,1211.00000000,+42.4030836,-071.1095720,8897100.71000000,204.24930000,5024,2315,0102367,106796,0003415,0106796,826571.03253900004,4699.65305664000
25,025,010500,25025010500,105,Census Tract 105,G5020,188533.00000000,10075.00000000,+42.3445637,-071.0845748,2137658.05000000,49.07390000,3044,1767,0174943,147933,0003868,0147933,198595.71328500001,1980.48071655000
25,025,030100,25025030100,301,Census Tract 301,G5020,76346.00000000,0.00000000,+42.3669462,-071.0561502,821725.44000000,18.86420000,1954,1377,0174984,147974,0003879,0147974,76341.09221440001,1214.16416255000
25,017,339900,25017339900,3399,Census Tract 3399,G5020,1072877.00000000,0.00000000,+42.4181930,-071.0915348,11547656.63000000,265.09770000,5171,2212,0102388,106817,0003419,0106817,1072816.67317000008,5987.33761714000
25,025,020200,25025020200,202,Census Tract 202,G5020,116893.00000000,0.00000000,+42.3603354,-071.0686334,1258118.25000000,28.88240000,3649,2478,0174971,147961,0003875,0147961,116883.48763800001,1617.82784612000
25,025,000701,25025000701,7.01,Census Tract 7.01,G5020,230433.00000000,0.00000000,+42.3469581,-071.1379847,2480202.83000000,56.93760000,4446,2359,0174886,147876,0003854,0147876,230419.30777900000,2189.16425226000
25,017,355000,25017355000,3550,Census Tract 3550,G5020,460769.00000000,6449.00000000,+42.3986711,-071.1328407,5028761.68000000,115.44450000,2689,1413,0102706,107135,0003490,0107135,467189.09922199999,4466.49759512000
25,025,010300,25025010300,103,Census Tract 103,G5020,509208.00000000,0.00000000,+42.3394252,-071.1017927,5480700.06000000,125.81960000,4861,416,0174926,147916,0003863,0147916,509175.74274000002,3757.68791917000
25,025,000802,25025000802,8.02,Census Tract 8.02,G5020,977475.00000000,0.00000000,+42.3568717,-071.1297576,10520753.59000000,241.52330000,8136,3129,0174900,147890,0003857,0147890,977413.88164200005,6472.12831661000
25,027,736400,25027736400,7364,Census Tract 7364,G5020,4013856.00000000,31724.00000000,+42.2185593,-071.8107513,43543001.60000000,999.60980000,3071,1283,0190304,171849,0004155,0171849,4045293.41270000022,8817.41491879000
25,025,100100,25025100100,1001,Census Tract 1001,G5020,1037011.00000000,874.00000000,+42.2902498,-071.0873027,11170897.96000000,256.44850000,5510,2047,0175321,148311,0003963,0148311,1037814.52190000005,4434.01853195000
25,027,732002,25027732002,7320.02,Census Tract 7320.02,G5020,5941264.00000000,375520.00000000,+42.2840765,-071.7728173,67988251.86000000,1560.79550000,4036,1673,0190214,171759,0004133,0171759,6316340.52838999964,12159.88113790000
25,027,732600,25027732600,7326,Census Tract 7326,G5020,604374.00000000,0.00000000,+42.2467317,-071.7987259,6504935.47000000,149.33280000,4253,1897,0190246,171791,0004141,0171791,604330.70623799996,3476.74106246000
25,025,092200,25025092200,922,Census Tract 922,G5020,581304.00000000,0.00000000,+42.2950231,-071.0661698,6256656.21000000,143.63310000,3349,1227,0175305,148295,0003960,0148295,581264.68960399996,3414.57397345000
